TEname	Class	Order	SuperFamily	Family	Length
BDGP_BS3	RNA	LINE	Jockey	BS3	1790
BDGP_Bari2	DNA	TIR	TcMar-Tc1	Bari2	1064
BDGP_Circe	RNA	LTR	Gypsy	Circe	7450
BDGP_Dana-Tom	RNA	LTR	Gypsy	Dana-Tom	7060
BDGP_Fw3	RNA	LINE	Jockey	Fw3	3132
BDGP_G5	RNA	LINE	Jockey	G5	4856
BDGP_G5A	RNA	LINE	Jockey	G5A	2841
BDGP_G7	RNA	LINE	Jockey	G7	1192
BDGP_Helena	RNA	LINE	Jockey	Helena	1317
BDGP_Helitron	DNA	Helitron	Helitron	Helitron	564
BDGP_Osvaldo	RNA	LTR	Gypsy	Osvaldo	1543
BDGP_Penelope	RNA	PLE	Penelope	Penelope	804
BDGP_Q-element	RNA	LINE	CR1	Cr1a	759
BDGP_R1-2	RNA	LINE	R1	R1-2	3216
BDGP_R1A1-element	RNA	LINE	R1	R1A1-element	5356
BDGP_R2-element	RNA	LINE	R2	R2-element	3607
BDGP_Rt1c	RNA	LINE	R1	Rt1c	5443
BDGP_Stalker	RNA	LTR	Gypsy	Stalker	7256
BDGP_TART-A	RNA	LINE	Jockey	TART-A	13424
BDGP_TART-B	RNA	LINE	Jockey	TART-B	10654
BDGP_TART-C	RNA	LINE	Jockey	TART-C	11124
BDGP_Tom1	RNA	LTR	Gypsy	Tom1	410
BDGP_ZAM	RNA	LTR	Gypsy	ZAM	8435
BDGP_accord2	RNA	LTR	Gypsy	accord2	7650
BDGP_aurora	RNA	LTR	Pao	Ninja	4263
BDGP_baggins	RNA	LINE	Loa	baggins	5453
BDGP_frogger	RNA	LTR	Copia	frogger	2483
BDGP_gypsy11	RNA	LTR	Gypsy	gypsy11	4428
BDGP_gypsy2	RNA	LTR	Gypsy	gypsy2	6841
BDGP_gypsy3	RNA	LTR	Gypsy	gypsy3	6973
BDGP_gypsy7	RNA	LTR	Gypsy	gypsy7	5486
BDGP_gypsy9	RNA	LTR	Gypsy	gypsy9	5349
BDGP_invader5	RNA	LTR	Gypsy	Invader5	4038
BDGP_jockey2	RNA	LINE	Jockey	jockey2	3428
BDGP_rooA	RNA	LTR	Pao	rooA	7621
BDGP_transib3	DNA	TIR	CMC-Transib	transib3	2883
BDGP_transib4	DNA	TIR	CMC-Transib	transib4	2656
DNAREP1_INE-1	DNA	Helitron	INE-1	INE-1	683
UnFUnClUnAlig_DHX-incomp_COR	DNA	Helitron	INE-1	INE-1	670
UnFUnClUnAlig_DXX-MITE_COR	DNA	MITE	NewFam	NewFam14	1279
UnFUnClUnAlig_RIX-comp_TEN	RNA	LINE	I	I-element	3075
UnFUnClUnAlig_RIX-incomp_JUT_2	RNA	LINE	Jockey	Doc3	773
UnFUnClUnAlig_RLX-incomp_COR	RNA	LTR	Gypsy	Gypsy-1_Dsim	661
UnFUnClUnAlig_RLX-incomp_COR_2	RNA	LTR	Gypsy	Gypsy-1_Dsim	1490
UnFUnClUnAlig_RLX-incomp_COR_3	RNA	LTR	Gypsy	Gypsy-4_Dsim	1072
UnFUnClUnAlig_RLX-incomp_FIN	RNA	LTR	Gypsy	Pifo	650
UnFUnClUnAlig_RLX-incomp_MUN	RNA	LTR	Gypsy	Gypsy-26_Dya	1064
UnFUnClUnAlig_RLX-incomp_MUN_3	RNA	LTR	Gypsy	Gypsy-24_DY	2030
UnFUnClUnAlig_RLX-incomp_RAL177	RNA	LTR	Copia	Copia-1_Dse	2956
UnFUnClUnAlig_RLX-incomp_SLO	RNA	LTR	Gypsy	gypsy6A	367
UnFUnClUnAlig_RLX-incomp_SLO_4	RNA	LTR	Pao	BEL-4_Dfi	473
UnFUnClUnAlig_RLX-incomp_TOM	RNA	LTR	Gypsy	Micropia	1969
UnFUnClUnAlig_RLX-incomp_TOM_2	RNA	LTR	Gypsy	Gypsy-35_Del	464
UnFUnClUnAlig_RLX-incomp_TOM_3	RNA	LTR	Gypsy	Gypsy-1_Dsim	642
UnFUnClUnAlig_RXX-TRIM_B22_2	RNA	TRIM	NewFam	NewFam16	807
UnFUnClUnAlig_noCat_SLO	RNA	LINE	R1	Rt1c	1589
UnFmclCluster039_RLX-incomp_COR	RNA	LTR	Gypsy	Gypsy-1_Dsim	4043
UnFmclCluster039_RLX-incomp_TOM	RNA	LTR	Gypsy	Gypsy-6_Dse	3331
UnFmclCluster051_DTX-incomp_SLO	DNA	TIR	NewFam	NewFam06	4331
con10_3S18	RNA	LTR	Pao	3S18	6173
con10_HMS-Beagle2	RNA	LTR	Gypsy	HMS-Beagle2	7435
con10_Idefix	RNA	LTR	Gypsy	Idefix	10984
con10_McClintock	RNA	LTR	Gypsy	Quasimodo2	6489
con10_UnFmcl019_RLX-incomp	RNA	LTR	Copia	Copia-3_Dbp	3158
con10_accord	RNA	LTR	Gypsy	accord	7738
con11_hopper	DNA	TIR	CMC-Transib	hopper	1453
con11_mariner2	DNA	TIR	TcMar-Tc1	mariner2	1300
con12_Doc	RNA	LINE	Jockey	Doc	4784
con12_Stalker4C	RNA	LTR	Gypsy	Stalker4	3635
con12_TAHRE	RNA	LINE	Jockey	THARE	10540
con12_UnFmcl011_RLX-incomp	RNA	LTR	Gypsy	Gypsy-24_Dya	5525
con13_HB	DNA	TIR	TcMar-Tc1	HB	1711
con13_Tc1	DNA	TIR	TcMar-Tc1	Tc1	1706
con13_UnFmcl013_RLX-incomp	RNA	LTR	Gypsy	Micropia	4617
con13_diver	RNA	LTR	Pao	diver	6227
con14_F-element	RNA	LINE	Jockey	F-element	4733
con14_Juan	RNA	LINE	Jockey	Doc6	4420
con14_Rt1a	RNA	LINE	R1	Rt1a	5437
con14_invader4	RNA	LTR	Gypsy	Invader4	3114
con15_Rt1b	RNA	LINE	R1	Rt1b	5114
con15_flea	RNA	LTR	Gypsy	Blastopia	5072
con15_pogo	DNA	TIR	TcMar-Pogo	pogo	2233
con16_blood	RNA	LTR	Gypsy	blood	7558
con17_Max-element	RNA	LTR	Pao	Max-element	9226
con17_invader3	RNA	LTR	Gypsy	Invader3	5576
con17_rover	RNA	LTR	Pao	rover	7848
con19_Quasimodo	RNA	LTR	Gypsy	Quasimodo	7527
con19_transib2	DNA	TIR	CMC-Transib	transib2	2867
con20_Burdock	RNA	LTR	Gypsy	Burdock	6466
con20_HMS-Beagle	RNA	LTR	Gypsy	HMS-Beagle	7191
con20_jockey	RNA	LINE	Jockey	jockey	5032
con21_HeT-A	RNA	LINE	Jockey	HeT-A	6659
con21_Ivk	RNA	LINE	I	Ivk	5483
con21_springer	RNA	LTR	Gypsy	gypsy1	7880
con22_S-element	DNA	TIR	TcMar-Tc1	S-element	1815
con22_Stalker2	RNA	LTR	Gypsy	Stalker2	7975
con23_copia	RNA	LTR	Copia	Copia	5382
con24_Transpac	RNA	LTR	Gypsy	Transpac	5291
con24_UnFmcl003_noCat	RNA	LTR	Gypsy	Invader3	1183
con24_X-element	RNA	LINE	Jockey	BS2	4811
con25_1360	DNA	TIR	P	1360	4634
con25_opus	RNA	LTR	Gypsy	Nomad	7741
con26_BS	RNA	LINE	Jockey	BS	5320
con26_I-element	RNA	LINE	I	I-element	5448
con26_Tirant	RNA	LTR	Gypsy	Tirant	8892
con26_mdg3	RNA	LTR	Gypsy	mdg3	5911
con2_BS4	RNA	LINE	Jockey	BS4	876
con2_Dbuz-Kepler	RNA	TRIM	Gypsy	Kepler	1760
con2_Doc4	RNA	LINE	Jockey	Doc4	4848
con2_Fw2	RNA	LINE	Jockey	Fw2	3967
con2_G3	RNA	LINE	Jockey	G3	4611
con2_NOF	DNA	TIR	MULE-NOF	NOF	5276
con2_Tc3	DNA	TIR	TcMar-Tc1	Tc3	4007
con2_UnFUnCl003_RLX-incomp	RNA	LTR	Gypsy	Stalker4	2701
con2_diver2	RNA	LTR	Pao	diver2	5242
con2_gtwin	RNA	LTR	Gypsy	gtwin	7425
con2_gypsy10	RNA	LTR	Gypsy	gypsy10	7396
con2_gypsy5	RNA	LTR	Gypsy	gypsy5	8337
con33_17-6	RNA	LTR	Gypsy	17-6	7772
con33_P-element	DNA	TIR	P	P-element	3641
